id,user_msg,expected_intent,expected_class,expected_attributes,expected_filter_attributes,expected_key_quantity,dataset
1,"add student with name=anderson martins gomes, age=20",ADD,student,"{""name"": ""Anderson Martins Gomes"", ""age"": ""20""}",{},2,ORIGINAL
2,"add subject with name=brazilian history, description=the history of brazil",ADD,subject,"{""name"": ""Brazilian History"", ""description"": ""The history of Brazil""}",{},2,ORIGINAL
3,"add teacher with name=paulo henrique, age=65, email=ph@uece.br",ADD,teacher,"{""name"": ""Paulo Henrique"", ""age"": ""65"", ""email"": ""ph@uece.br""}",{},3,ORIGINAL
4,"add subject with name=math, description=the best subject ever",ADD,subject,"{""name"": ""Math"", ""description"": ""The best subject ever""}",{},2,ORIGINAL
5,"add subject with name=math, description='the best subject ever!'",ADD,subject,"{""name"": ""Math"", ""description"": ""The best subject ever!""}",{},2,ORIGINAL
6,add student name=anderson,ADD,student,"{""name"": ""Anderson""}",{},1,ORIGINAL
7,get students with name anderson,READ,student,{},"{""name"": ""anderson""}",1,ORIGINAL
8,show me the teachers,READ,teacher,{},{},0,ORIGINAL
9,show teachers,READ,teacher,{},{},0,ORIGINAL
10,show teacher,READ,teacher,{},{},0,ORIGINAL
11,"include outcome value 900, date is today, and description is ""adjusting the numbers""",ADD,outcome,"{""value"": ""900"", ""date"": ""today"", ""description"": ""adjusting the numbers""}",{},3,ORIGINAL
12,get invoices,READ,invoice,{},{},0,ORIGINAL
13,"add a test with scope=module x, date=01/01/2022, timeout = 100, limit=10",ADD,test,"{""scope"": ""Module X"", ""date"": ""01/01/2022"", ""timeout"": ""100"", ""limit"": ""10""}",{},4,ORIGINAL
14,add a test with scope=module y and number = 8,ADD,test,"{""scope"": ""Module Y"", ""number"": ""8""}",{},2,ORIGINAL
15,"add student with name=anderson, age=199",ADD,student,"{""name"": ""Anderson"", ""age"": ""199""}",{},2,ORIGINAL
16,"delete student name is anderson, and age is 199",DELETE,student,{},"{""name"": ""Anderson"", ""age"": ""199""}",2,ORIGINAL
17,"add article with title=the title, author=the author",ADD,article,"{""title"": ""The title"", ""author"": ""The author""}",{},2,ORIGINAL
18,"update article with title ""the title"" and author ""the author"" set the title to ""the new title""",UPDATE,article,"{""title"": ""The new title""}","{""title"": ""The title"", ""author"": ""The author""}",3,ORIGINAL
19,add article with author=anderson,ADD,article,"{""author"": ""Anderson""}",{},1,ORIGINAL
20,"delete article when author=""anderson""",DELETE,article,{},"{""author"": ""Anderson""}",1,ORIGINAL
21,show me the articles,READ,article,{},{},0,ORIGINAL
22,"add article with title=the title, author=the author, abstract=the abstract, keywords=the keywords",ADD,article,"{""title"": ""The title"", ""author"": ""The author"", ""abstract"": ""The abstract"", ""keywords"": ""The keywords""}",{},4,ORIGINAL
23,"update article with title ""the title"", setting the co-author as ""anderson gomes""",UPDATE,article,"{""co_author"": ""Anderson Gomes""}","{""title"": ""The title""}",2,ORIGINAL
24,"update article with id=1, setting the first author as ""paulo maia""",UPDATE,article,"{""first_author"": ""Paulo Maia""}","{""id"": ""1""}",2,ORIGINAL
25,show all students,READ,student,{},{},0,ORIGINAL
26,view students,READ,student,{},{},0,ORIGINAL
27,fetch the students,READ,student,{},{},0,ORIGINAL
28,get the students,READ,student,{},{},0,ORIGINAL
29,"for the students with name='anderson', update the name to 'anderson martins'",UPDATE,student,"{""name"": ""Anderson Martins""}","{""name"": ""Anderson""}",2,ORIGINAL
30,please change student with name paulo update age to 30,UPDATE,student,"{""age"": ""30""}","{""name"": ""Paulo""}",2,ORIGINAL
31,"for students with name anderson, update age to 30",UPDATE,student,"{""age"": ""30""}","{""name"": ""Anderson""}",2,ORIGINAL
32,"for students, update age to 30",UPDATE,student,{},{},0,ORIGINAL
33,update students,UPDATE,student,{},{},0,ORIGINAL
34,"please, when students have the name equal to anderson, update the age to 30.",UPDATE,student,"{""age"": ""30""}","{""name"": ""Anderson""}",2,ORIGINAL
35,update students setting the age to 42 when name is anderson,UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",2,ORIGINAL
36,update students set the age to 42 when name is anderson,UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",2,ORIGINAL
37,set students with age to 42 when name is anderson,UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",2,ORIGINAL
38,"for students with name anderson, update the age to 42",UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",2,ORIGINAL
39,please change student with name anderson update age to 30,UPDATE,student,"{""age"": ""30""}","{""name"": ""Anderson""}",2,ORIGINAL
40,"please, change the student with name='anderson', updating the age to 30",UPDATE,student,"{""age"": ""30""}","{""name"": ""Anderson""}",2,ORIGINAL
41,"update the age to 42, for students with name='anderson'",UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",2,ORIGINAL
42,add a student with name joseph,ADD,student,"{""name"": ""Joseph""}",{},1,ORIGINAL
43,get students,READ,student,{},{},0,ORIGINAL
44,add article with title 'dome: a no-code tool',ADD,article,"{""title"": ""DomE: A no-code tool""}",{},1,ORIGINAL
45,get articles,READ,article,{},{},0,ORIGINAL
46,"update the articles with id=1, setting the title='new title'",UPDATE,article,"{""title"": ""new title""}","{""id"": ""1""}",2,ORIGINAL
47,"add article with title='title 2', author='rodrigo'",ADD,article,"{""title"": ""title 2"", ""author"": ""Rodrigo""}",{},2,ORIGINAL
48,"update the articles with id=1, setting the co-author='layza'",UPDATE,article,"{""co_author"": ""Layza""}","{""id"": ""1""}",2,ORIGINAL
49,delete the article with id=1,DELETE,article,{},"{""id"": ""1""}",1,ORIGINAL
50,add a student with age=45,ADD,student,"{""age"": ""45""}",{},1,ORIGINAL
51,show students,READ,student,{},{},0,ORIGINAL
52,"include company with name=acme, address=150 coconut street",ADD,company,"{""name"": ""ACME"", ""address"": ""150 Coconut Street""}",{},2,ORIGINAL
53,list companies,READ,company,{},{},0,ORIGINAL
54,"add another company with name=caju enterprises, owner=anderson gomes and address=200 cumbuco street",ADD,company,"{""name"": ""Caju Enterprises"", ""owner"": ""Anderson Gomes"", ""address"": ""200 Cumbuco Street""}",{},3,ORIGINAL
55,which company has caju in its name?,READ,company,{},"{""name"": ""caju""}",1,ORIGINAL
56,"is there a company with ""caju"" in its name?",READ,company,{},"{""name"": ""caju""}",1,ORIGINAL
57,delete the company whose name is acme,DELETE,company,{},"{""name"": ""ACME""}",1,ORIGINAL
58,add a new company with name=american beauty and owner=kevin spacey,ADD,company,"{""name"": ""American Beauty"", ""owner"": ""Kevin Spacey""}",{},2,ORIGINAL
59,list company names sorted in ascending order,READ,company,{},"{""names"": ""sorted""}",1,ORIGINAL
60,list companies sorted by name in ascending order,READ,company,{},"{""name"": ""ascending""}",1,ORIGINAL
61,add a new company with name=american beauty and owner=janjo chiquim,ADD,company,"{""name"": ""American Beauty"", ""owner"": ""janjo chiquim""}",{},2,ORIGINAL
62,add a new company with name=american beauty and owner=roger rommel,ADD,company,"{""name"": ""American Beauty"", ""owner"": ""Roger Rommel""}",{},2,ORIGINAL
63,"list companies, sort by name",READ,company,{},"{""sort"": ""by name""}",1,ORIGINAL
64,list all companies,READ,company,{},{},0,ORIGINAL
65,show all companies,READ,company,{},{},0,ORIGINAL
66,add company with name=roger arrombado,ADD,company,"{""name"": ""Roger Arrombado""}",{},1,ORIGINAL
67,get companies,READ,company,{},{},0,ORIGINAL
68,include a company with name=mimoso construcoes,ADD,company,"{""name"": ""Mimoso Construcoes""}",{},1,ORIGINAL
69,add article with abstract equal to 'this is a good article',ADD,article,"{""abstract"": ""this is a good article""}",{},1,ORIGINAL
70,add an article with an abstract equal to 'this is a good article about de human history. the human narratives are around the technology evolution and it's impact on society.',ADD,article,"{""abstract"": ""this is a good article about de human history. The human narratives are around the technology evolution and it's impact on society.""}",{},1,ORIGINAL
71,add a student with name mary,ADD,student,"{""name"": ""Mary""}",{},1,ORIGINAL
72,"i want to add a student with name 'rodrigo', age 20 and his skin color is white",ADD,student,"{""name"": ""Rodrigo"", ""age"": ""20"", ""skin"": ""white""}",{},3,ORIGINAL
73,"now, i want to view all students",READ,student,{},{},0,ORIGINAL
74,i want to delete all students,DELETE,student,{},{},0,ORIGINAL
75,delete students,DELETE,student,{},{},0,ORIGINAL
76,delete students with id <= 4,DELETE,student,{},"{""id"": ""4""}",1,ORIGINAL
77,delete students with idless than or equal to 4,DELETE,student,{},{},0,ORIGINAL
78,delete students with id less than or equal to 4,DELETE,student,{},"{""id"": ""less than or equal to 4""}",1,ORIGINAL
